Activity,Counts
,1
,1
,1
,1
,1
shipwreck,1
shipwreck,1
boat capsized,1
diving,1
boat capsized,1
shipwreck,1
,1
shipwreck,1
shipwreck,1
shark related activities,1
diving,1
shark related activities,1
diving,1
shark related activities,1
diving,1
spearfishing,1
bathing,1
swimming,1
fishing,1
shipwreck,1
boat capsized,1
shark related activities,1
shark related activities,1
fishing,1
,1
spearfishing,1
shipwreck,1
,1
boat capsized,1
plane crash,1
wading/standing,1
diving,1
shark related activities,1
shipwreck,1
fishing,1
spearfishing,1
,1
shipwreck,1
,1
,1
fishing,1
spearfishing,1
,1
spearfishing,1
,1
shark related activities,1
diving,1
fishing,1
,1
spearfishing,1
shark related activities,1
,1
,1
,1
diving,1
diving,1
diving,1
diving,1
fishing,1
spearfishing,1
,1
swimming,1
wading/standing,1
fishing,1
fishing,1
,1
diving,1
boat capsized,1
diving,1
wading/standing,1
,1
kayaking,1
shark related activities,1
,1
,1
,1
boat capsized,1
fishing,1
,1
,1
,1
,1
shark related activities,1
,1
,1
fishing,1
kayaking,1
